ROI,X_position,Y_position,gene,gene_value,type,full_gene_name
D5761.(3).|.064.|.Full.ROI,4148,18512,Exd2,1.37571107760098,Cortical layer II/III,Exd2
D5761.(3).|.064.|.Full.ROI,4148,18512,Slc12a5,1.314858823212,Cortical layer II/III,Slc12a5
D5761.(3).|.064.|.Full.ROI,4148,18512,Calm1,0.765188240232467,Cortical layer II/III,Calm1
D5761.(3).|.064.|.Full.ROI,4148,18512,Gpr158,0.00857557589688708,Cortical layer II/III,Gpr158
D5761.(3).|.064.|.Full.ROI,4148,18512,Kcnip2,0.686197572804678,Cortical layer II/III,Kcnip2
D5761.(3).|.064.|.Full.ROI,4148,18512,Tacc1,-0.379774484479444,Cortical layer II/III,Tacc1
D5761.(3).|.064.|.Full.ROI,4148,18512,Them6,1.0137605356508,Cortical layer II/III,Them6
D5761.(3).|.064.|.Full.ROI,4148,18512,Rtn4,0.0987225701260856,Cortical layer II/III,Rtn4
D5761.(3).|.064.|.Full.ROI,4148,18512,Arhgef25,0.549098510524116,Cortical layer II/III,Arhgef25
D5761.(3).|.064.|.Full.ROI,4148,18512,Stxbp5l,-1.30943359827971,Cortical layer II/III,Stxbp5l
D5761.(3).|.064.|.Full.ROI,4148,18512,Tbr1,-0.929385739694965,Cortical layer II/III,Tbr1
D5761.(3).|.064.|.Full.ROI,4148,18512,Ppp1r1b,0.911988397017733,Cortical layer II/III,Ppp1r1b
D5761.(3).|.064.|.Full.ROI,4148,18512,Nptx1,0.354728656787104,Cortical layer II/III,Nptx1
D5761.(3).|.064.|.Full.ROI,4148,18512,Tsnax,1.99526946844555,Cortical layer II/III,Tsnax
D5761.(3).|.064.|.Full.ROI,4148,18512,Dock4,1.57826292847435,Cortical layer II/III,Dock4
D5761.(3).|.064.|.Full.ROI,4148,18512,Sipa1l1,1.52239463411598,Cortical layer II/III,Sipa1l1
D5761.(3).|.064.|.Full.ROI,4148,18512,Kcnh4,1.36368426120469,Cortical layer II/III,Kcnh4
D5761.(3).|.064.|.Full.ROI,4148,18512,Kcnh5,-0.285884831070959,Cortical layer II/III,Kcnh5
D5761.(3).|.064.|.Full.ROI,4148,18512,Myo16,-0.71820220133712,Cortical layer II/III,Myo16
D5761.(3).|.064.|.Full.ROI,4148,18512,Cux1,-0.111901698699198,Cortical layer II/III,Cux1
D5761.(3).|.064.|.Full.ROI,4148,18512,Cux2,1.08668724708784,Cortical layer II/III,Cux2
D5761.(3).|.064.|.Full.ROI,4148,18512,Ptn,0.095604810229424,Cortical layer II/III,Ptn
D5761.(3).|.064.|.Full.ROI,4148,18512,Plxnd1,0.668295849736173,Cortical layer II/III,Plxnd1
D5761.(3).|.064.|.Full.ROI,4148,18512,Nectin1,1.10518013464538,Cortical layer II/III,Nectin1
D5761.(3).|.064.|.Full.ROI,4148,18512,Rilpl1,2.29096371022006,Cortical layer II/III,Rilpl1
D5761.(3).|.064.|.Full.ROI,4148,18512,Npbwr1,-0.4391569281699,Cortical layer II/III,Npbwr1
D5761.(3).|.064.|.Full.ROI,4148,18512,Tmem200a,-0.042038983316853,Cortical layer II/III,Tmem200a
D5761.(3).|.064.|.Full.ROI,4148,18512,Ndrg2,-1.11598662806204,Cortical layer II/III,Ndrg2
